Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR ASFS30,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
ALL_TURBULENCE,20230221 165000,20230221 170000,2,spike ,ccox
ALL_TURBULENCE,20230227 181000,20230227 182000,2,spike ,ccox
ALL_TURBULENCE,20230306 093000,20230306 094000,2,spike ,ccox
ALL_TURBULENCE,20230306 100000,20230306 101000,2,spike ,ccox
ALL_TURBULENCE,20230306 103000,20230306 104000,2,spike ,ccox
ALL_TURBULENCE,20230306 105000,20230306 110000,2,spike ,ccox
ALL_TURBULENCE,20230306 111000,20230306 112000,2,spike ,ccox
ALL_TURBULENCE,20230306 115000,20230306 120000,2,spike ,ccox
ALL_TURBULENCE,20230306 122000,20230306 123000,2,spike ,ccox
ALL_TURBULENCE,20230306 131000,20230306 132000,2,spike ,ccox
ALL_TURBULENCE,20230306 133000,20230306 134000,2,spike ,ccox
ALL_TURBULENCE,20230306 141000,20230306 142000,2,spike ,ccox
ALL_TURBULENCE,20230306 143000,20230306 144000,2,spike ,ccox
ALL_TURBULENCE,20230306 150000,20230306 151000,2,spike ,ccox
ALL_TURBULENCE,20230306 152000,20230306 153000,2,spike ,ccox
ALL_TURBULENCE,20230307 065000,20230307 070000,2,spike ,ccox
ALL_TURBULENCE,20230318 053000,20230318 054000,2,spike ,ccox
ALL_TURBULENCE,20230330 224000,20230330 225000,2,spike ,ccox
ALL_TURBULENCE,20230402 045000,20230402 050000,2,spike ,ccox
ALL_TURBULENCE,20230402 094000,20230402 095000,2,spike ,ccox
ALL_TURBULENCE,20230402 122000,20230402 123000,2,spike ,ccox
ALL_TURBULENCE,20230403 063000,20230403 064000,2,spike ,ccox
ALL_TURBULENCE,20230504 005000,20230504 010000,2,spike ,ccox
ALL_TURBULENCE,20230526 025000,20230526 030000,2,spike ,ccox
ALL_TURBULENCE,20230608 212000,20230608 213000,2,spike ,ccox
ALL_TURBULENCE,20230617 201000,20230617 202000,2,spike ,ccox
ALL_TURBULENCE,20230619 060000,20230619 061000,2,spike ,ccox
ALL_TURBULENCE,20230619 075000,20230619 080000,2,spike ,ccox
ALL_TURBULENCE,20230620 093000,20230620 094000,2,spike ,ccox
ALL_TURBULENCE,20230620 115000,20230620 120000,2,spike ,ccox
ALL_TURBULENCE,20230626 083000,20230626 084000,2,spike ,ccox
ALL_TURBULENCE,20230628 022000,20230628 023000,2,spike ,ccox
ALL_TURBULENCE,20230628 121000,20230628 122000,2,spike ,ccox
ALL_TURBULENCE,20230628 125000,20230628 130000,2,spike ,ccox
ALL_TURBULENCE,20230704 050000,20230704 051000,2,spike ,ccox
ALL_TURBULENCE,20230707 041000,20230707 042000,2,spike ,ccox
ALL_TURBULENCE,20230707 090000,20230707 091000,2,spike ,ccox
ALL_TURBULENCE,20230708 014000,20230708 015000,2,spike ,ccox
